,Sun,Magnetometer,Earth,Angular momentum of wheels,Angular velocity of satellite,Sun in view,Current fault,Current fault numeric,Current fault binary
0,[-0.73278666  0.34004139  0.58939382],[-0.78264849 -0.44070223 -0.439594  ],[-6.60288922e-17  1.65072231e-17 -1.00000000e+00],[0. 0. 0.],[0. 0. 0.],True,Electronics_of_RW,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,[-0.73213945  0.34004374  0.59022798],[-0.78394762 -0.43948951 -0.43849185],[ 4.07952969e-12  3.30144470e-17 -1.00000000e+00],[0.00000000e+00 4.78645384e-12 0.00000000e+00],[ 0.00000000e+00 -2.12416743e-35  0.00000000e+00],True,Electronics_of_RW,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
2,[-0.73148656  0.34004218  0.59101659],[-0.78514869 -0.43808714 -0.43774557],[ 8.15899336e-12  1.65072239e-17 -1.00000000e+00],[0.00000000e+00 1.43593615e-11 0.00000000e+00],[ 1.56609857e-077 -6.37250229e-035 -1.33066223e-111],True,Electronics_of_RW,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
3,[-0.73083718  0.3400376   0.59182748],[-0.78648136 -0.43672781 -0.4367103 ],[ 1.22383250e-11 -1.65072244e-17 -1.00000000e+00],[ 0.00000000e+00  2.87187230e-11 -4.99737234e-89],[ 1.56609857e-076 -1.27450046e-034 -5.87154709e-110],True,Electronics_of_RW,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
4,[-0.73017136  0.34003984  0.59263428],[-0.78770093 -0.43553412 -0.4357032 ],[ 1.63178547e-11 -1.72270842e-76 -1.00000000e+00],[ 0.00000000e+00  4.78645384e-11 -8.74540159e-88],[ 7.20405341e-076 -2.12416743e-034 -7.24711916e-109],True,Electronics_of_RW,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
5,[-0.7295231   0.34004507  0.59343973],[-0.78888456 -0.43402736 -0.43506483],[ 2.03973183e-11 -8.92676184e-76 -1.00000000e+00],[ 0.00000000e+00  7.17968076e-11 -6.57154462e-87],[ 2.28650391e-075 -3.18625115e-034 -4.93043622e-108],True,Electronics_of_RW,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
6,[-0.72886223  0.34004762  0.59424013],[-0.79013761 -0.43265967 -0.43415225],[ 2.44767820e-11 -3.17918009e-75 -1.00000000e+00],[ 0.00000000e+00  1.00515531e-10 -3.19332092e-86],[ 5.81022569e-075 -4.46075160e-034 -2.34712184e-107],True,Electronics_of_RW,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
7,[-0.72820687  0.34003662  0.5950479 ],[-0.79142888 -0.431203   -0.43324854],[ 2.85561796e-11 -8.98940578e-75 -1.00000000e+00],[ 0.00000000e+00  1.34020708e-10 -1.17987961e-85],[ 1.27167204e-074 -5.94766881e-034 -8.78097351e-107],True,Electronics_of_RW,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
8,[-0.72755499  0.34004407  0.59584408],[-0.79259335 -0.4298167  -0.4324967 ],[ 3.26357093e-11  1.65072267e-17 -1.00000000e+00],[ 0.00000000e+00  1.72312338e-10 -3.60410493e-85],[ 2.49949331e-074 -7.64700275e-034 -2.75872228e-106],True,Electronics_of_RW,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
9,[-0.72689485  0.34004692  0.59666035],[-0.79393365 -0.42838153 -0.43146103],[ 3.67152390e-11  1.65072272e-17 -1.00000000e+00],[ 0.00000000e+00  2.15390423e-10 -9.56497065e-85],[ 4.52915705e-074 -9.55875343e-034 -7.58895630e-106],True,Electronics_of_RW,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
10,[-0.72623272  0.34004632  0.59745567],[-0.79517402 -0.42707585 -0.43047009],[ 4.07946366e-11 -9.19926298e-74 -1.00000000e+00],[ 0.00000000e+00  2.63254961e-10 -2.27745249e-84],[ 7.70050665e-074 -1.16829209e-033 -1.88018481e-105],True,Electronics_of_RW,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
11,[-0.7255928   0.34004863  0.59825759],[-0.79656945 -0.4254541  -0.42949495],[ 4.48741003e-11 -1.68997696e-73 -1.00000000e+00],[ 0.00000000e+00  3.15905953e-10 -4.97378474e-84],[ 1.24379548e-073 -1.40195050e-033 -4.27985965e-105],True,Electronics_of_RW,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
12,[-0.72492044  0.34004297  0.59905343],[-0.79758226 -0.42429986 -0.42875652],[ 4.89536300e-11  1.65072287e-17 -1.00000000e+00],[ 0.00000000e+00  3.73343400e-10 -1.01226524e-83],[ 1.92598801e-073 -1.65685059e-033 -9.08331142e-105],True,Electronics_of_RW,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
13,[-0.7242605   0.34005391  0.59984591],[-0.79895217 -0.42285389 -0.42763304],[ 5.30330276e-11 -4.85976046e-73 -1.00000000e+00],[ 0.00000000e+00  4.35567299e-10 -1.94270601e-83],[ 2.87880238e-073 -1.93299236e-033 -1.81751467e-104],True,Electronics_of_RW,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
14,[-0.72358599  0.34004214  0.60066004],[-0.80009606 -0.42154577 -0.42678502],[ 5.71125573e-11  1.65072298e-17 -1.00000000e+00],[ 0.00000000e+00  5.02577653e-10 -3.54778454e-83],[ 4.17568860e-073 -2.23037580e-033 -3.45848752e-104],True,Electronics_of_RW,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
15,[-0.72292084  0.34004075  0.60145638],[-0.80124655 -0.42003477 -0.42611589],[ 6.11919550e-11 -1.19142514e-72 -1.00000000e+00],[ 0.00000000e+00  5.74374461e-10 -6.20904522e-83],[ 5.90231226e-073 -2.54900091e-033 -6.30154948e-104],True,Electronics_of_RW,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
16,[-0.72224043  0.34004937  0.60225926],[-0.80262779 -0.41855417 -0.4249718 ],[ 6.52714847e-11 -1.65072308e-17 -1.00000000e+00],[ 0.00000000e+00  6.50957722e-10 -1.04729532e-82],[ 8.15749418e-073 -2.88886769e-033 -1.10551444e-103],True,Electronics_of_RW,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
17,[-0.72161407  0.34004842  0.60304747],[-0.8038106  -0.41724428 -0.42402327],[ 6.93508163e-11 -2.59740579e-72 -1.00000000e+00],[ 0.00000000e+00  7.32327438e-10 -1.71035468e-82],[ 1.10541501e-072 -3.24997615e-033 -1.87588125e-103],True,Electronics_of_RW,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
