,Sun,Magnetometer,Earth,Angular momentum of wheels,Angular velocity of satellite,Sun in view,Current fault,Current fault numeric,Current fault binary
0,[-0.73277223  0.34004185  0.58940743],[-0.78263732 -0.4408748  -0.43944083],[-6.60288922e-17  1.65072231e-17 -1.00000000e+00],[0. 0. 0.],[0. 0. 0.],True,Bit_flip,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",1
1,[-0.73212485  0.34004123  0.59021454],[-0.78402137 -0.43936884 -0.43848092],[ 4.07952969e-12  3.30144470e-17 -1.00000000e+00],[0.00000000e+00 4.78645384e-12 0.00000000e+00],[ 0.00000000e+00 -2.12416743e-35  0.00000000e+00],True,Bit_flip,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",1
2,[-0.73148283  0.34003572  0.59101485],[-0.78514688 -0.4381411  -0.43769483],[ 8.15899336e-12  1.65072239e-17 -1.00000000e+00],[0.00000000e+00 1.43593615e-11 0.00000000e+00],[ 1.56609857e-077 -6.37250229e-035 -1.33066223e-111],True,Bit_flip,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",1
3,[-0.73082212  0.34004251  0.59182837],[-0.78637018 -0.43679612 -0.43684217],[ 1.22383250e-11 -1.65072244e-17 -1.00000000e+00],[ 3.43002014e-76  2.87187230e-11 -4.99737234e-89],[ 1.56609857e-076 -1.27450046e-034 -5.87154709e-110],True,Bit_flip,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",1
4,[-0.7301774   0.34003657  0.59263132],[-0.78767347 -0.43539571 -0.43589113],[ 1.63178547e-11 -1.72270842e-76 -1.00000000e+00],[ 3.78935559e-75  4.78645384e-11 -8.74540159e-88],[ 7.20405341e-076 -2.12416743e-034 -7.24711916e-109],True,Bit_flip,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",1
5,[-0.72952296  0.34004798  0.59344814],[-0.78884721 -0.43413123 -0.43502892],[ 2.03973183e-11 -8.92676184e-76 -1.00000000e+00],[ 1.97471160e-74  7.17968076e-11 -6.57154462e-87],[ 2.28650391e-075 -3.18625115e-034 -4.93043622e-108],True,Bit_flip,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",1
6,[-0.7288711   0.34004152  0.59425992],[-0.79002773 -0.43273037 -0.43428172],[ 2.44767820e-11 -3.17918009e-75 -1.00000000e+00],[ 7.07564155e-74  1.00515531e-10 -3.19332092e-86],[ 5.81022569e-075 -4.46075160e-034 -2.34712184e-107],True,Bit_flip,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",1
7,[-0.72821513  0.34004363  0.59505809],[-0.79130134 -0.43147296 -0.43321273],[ 2.85561796e-11 -8.98940578e-75 -1.00000000e+00],[ 2.01325849e-73  1.34020708e-10 -1.17987961e-85],[ 1.27167204e-074 -5.94766881e-034 -8.78097351e-107],True,Bit_flip,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",1
8,[-0.72754146  0.34004273  0.59584595],[-0.79255292 -0.42991146 -0.4324766 ],[ 3.26357093e-11  1.65072267e-17 -1.00000000e+00],[ 4.89218873e-73  1.72312338e-10 -3.60410493e-85],[ 2.49949331e-074 -7.64700275e-034 -2.75872228e-106],True,Bit_flip,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",1
9,[-0.72689801  0.34004239  0.59664829],[-0.79388361 -0.42834484 -0.43158953],[ 3.67152390e-11  1.65072272e-17 -1.00000000e+00],[ 1.05928822e-72  2.15390423e-10 -9.56497065e-85],[ 4.52915705e-074 -9.55875343e-034 -7.58895630e-106],True,Bit_flip,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",1
10,[-0.72623359  0.34004596  0.5974532 ],[-0.79516852 -0.42695104 -0.43060404],[ 4.07946366e-11 -9.19926298e-74 -1.00000000e+00],[ 2.09995633e-72  2.63254961e-10 -2.27745249e-84],[ 7.70050665e-074 -1.16829209e-033 -1.88018481e-105],True,Bit_flip,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",1
11,[-0.7255927   0.34004334  0.59825145],[-0.79638655 -0.42579067 -0.4295006 ],[ 4.48741003e-11 -1.68997696e-73 -1.00000000e+00],[ 3.88243980e-72  3.15905953e-10 -4.97378474e-84],[ 1.24379548e-073 -1.40195050e-033 -4.27985965e-105],True,Bit_flip,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",1
12,[-0.72491129  0.34004467  0.59905583],[-0.79752791 -0.42428719 -0.42887015],[ 4.89536300e-11  1.65072287e-17 -1.00000000e+00],[ 6.78281582e-72  3.73343400e-10 -1.01226524e-83],[ 1.92598801e-073 -1.65685059e-033 -9.08331142e-105],True,Bit_flip,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",1
13,[-0.72425834  0.34004218  0.59986091],[-0.7987771  -0.4228339  -0.42797972],[ 5.30330276e-11 -4.85976046e-73 -1.00000000e+00],[ 1.13070287e-71  4.35567299e-10 -1.94270601e-83],[ 2.87880238e-073 -1.93299236e-033 -1.81751467e-104],True,Bit_flip,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",1
14,[-0.72358766  0.34004617  0.60065268],[-0.80008061 -0.421499   -0.42686019],[ 5.71125573e-11  1.65072298e-17 -1.00000000e+00],[ 1.81189344e-71  5.02577653e-10 -3.54778454e-83],[ 4.17568860e-073 -2.23037580e-033 -3.45848752e-104],True,Bit_flip,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",1
15,[-0.72292714  0.34005424  0.60145443],[-0.80138895 -0.41983543 -0.42604456],[ 6.11919550e-11 -1.19142514e-72 -1.00000000e+00],[ 2.80714808e-71  5.74374461e-10 -6.20904522e-83],[ 5.90231226e-073 -2.54900091e-033 -6.30154948e-104],True,Bit_flip,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",1
16,[-0.72227909  0.34004281  0.60223674],[-0.80260993 -0.41859174 -0.42496854],[ 6.52714847e-11 -1.65072308e-17 -1.00000000e+00],[ 4.22411226e-71  6.50957722e-10 -1.04729532e-82],[ 8.15749418e-073 -2.88886769e-033 -1.10551444e-103],True,Bit_flip,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",1
17,[-0.72161003  0.34005154  0.60304259],[-0.80380491 -0.41720949 -0.42406828],[ 6.93508163e-11 -2.59740579e-72 -1.00000000e+00],[ 6.19655677e-71  7.32327438e-10 -1.71035468e-82],[ 1.10541501e-072 -3.24997615e-033 -1.87588125e-103],True,Bit_flip,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",1
18,[-0.72093811  0.34004608  0.60383623],[-0.80507002 -0.41578649 -0.42306484],[ 7.34303460e-11 -3.70282079e-72 -1.00000000e+00],[ 8.88849536e-71  8.18483607e-10 -2.71467959e-82],[ 1.47202302e-072 -3.63232628e-033 -3.09031365e-103],True,Bit_flip,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",1
19,[-0.72026458  0.34004643  0.60464178],[-0.80634755 -0.41420097 -0.42218619],[ 7.75097436e-11 -5.17484381e-72 -1.00000000e+00],[ 1.24986552e-70  9.09426230e-10 -4.20082865e-82],[ 1.92996589e-072 -4.03591809e-033 -4.95821731e-103],True,Bit_flip,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",1
20,[-0.71959688  0.34004519  0.60542554],[-0.80760826 -0.41285481 -0.42109358],[ 8.15892733e-11  1.65072330e-17 -1.00000000e+00],[ 1.72653101e-70  1.00515531e-09 -6.35459542e-82],[ 2.49532747e-072 -4.46075157e-033 -7.76845656e-103],True,Bit_flip,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",1
21,[-0.71892065  0.34003901  0.60621367],[-0.8087908  -0.41137083 -0.42027549],[ 8.56687370e-11 -1.65072336e-17 -1.00000000e+00],[ 2.34714856e-70  1.10567084e-09 -9.41796964e-82],[ 3.18597692e-072 -4.90682672e-033 -1.19130268e-102],True,Bit_flip,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",1
