,Sun,Magnetometer,Earth,Angular momentum of wheels,Angular velocity of satellite,Sun in view,Current fault,Current fault numeric,Current fault binary
0,[-0.73277078  0.34004061  0.58940355],[-0.78270418 -0.44080855 -0.43938819],[-6.60288922e-17  1.65072231e-17 -1.00000000e+00],[0. 0. 0.],[0. 0. 0.],True,Increasing_angular_RW_momentum,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",1
1,[-0.73214059  0.34003885  0.59021165],[-0.7839662  -0.43953671 -0.43841132],[ 4.07952969e-12  3.30144470e-17 -1.00000000e+00],[0. 0. 0.],[ 0.00000000e+00 -2.12416743e-35  0.00000000e+00],True,Increasing_angular_RW_momentum,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",1
2,[-0.73148132  0.34003983  0.59102826],[-0.78523303 -0.43802591 -0.43765557],[ 8.15899336e-12  1.65072239e-17 -1.00000000e+00],[0. 0. 0.],[ 1.56609857e-077 -6.37250229e-035 -1.33066223e-111],True,Increasing_angular_RW_momentum,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",1
3,[-0.7308332   0.34004183  0.59182499],[-0.78641939 -0.43674876 -0.43680095],[ 1.22383250e-11 -1.65072244e-17 -1.00000000e+00],[ 3.43002014e-76  0.00000000e+00 -4.99737234e-89],[ 1.56609857e-076 -1.27450046e-034 -5.87154709e-110],True,Increasing_angular_RW_momentum,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",1
4,[-0.73017286  0.34004748  0.59262511],[-0.78769492 -0.43539096 -0.43585711],[ 1.63178547e-11 -1.72270842e-76 -1.00000000e+00],[ 3.78935559e-75  0.00000000e+00 -8.74540159e-88],[ 7.20405341e-076 -2.12416743e-034 -7.24711916e-109],True,Increasing_angular_RW_momentum,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",1
5,[-0.7295284   0.34004373  0.59344015],[-0.78900065 -0.43393272 -0.43494868],[ 2.03973183e-11 -8.92676184e-76 -1.00000000e+00],[ 1.97471160e-74  0.00000000e+00 -6.57154462e-87],[ 2.28650391e-075 -3.18625115e-034 -4.93043622e-108],True,Increasing_angular_RW_momentum,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",1
6,[-0.72886251  0.3400437   0.59425108],[-0.79013013 -0.43273612 -0.43408965],[ 2.44767820e-11 -3.17918009e-75 -1.00000000e+00],[ 7.07564155e-74  0.00000000e+00 -3.19332092e-86],[ 5.81022569e-075 -4.46075161e-034 -2.34712184e-107],True,Increasing_angular_RW_momentum,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",1
7,[-0.72820977  0.34005089  0.59504269],[-0.79141877 -0.43128948 -0.43318093],[ 2.85561796e-11 -8.98940578e-75 -1.00000000e+00],[ 2.01325849e-73  0.00000000e+00 -1.17987961e-85],[ 1.27167204e-074 -5.94766881e-034 -8.78097352e-107],True,Increasing_angular_RW_momentum,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",1
8,[-0.72754789  0.3400451   0.59585864],[-0.7925623  -0.42995596 -0.43241516],[ 3.26357093e-11  1.65072267e-17 -1.00000000e+00],[ 4.89218873e-73  0.00000000e+00 -3.60410493e-85],[ 2.49949331e-074 -7.64700275e-034 -2.75872228e-106],True,Increasing_angular_RW_momentum,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",1
9,[-0.72690754  0.34004711  0.59666392],[-0.79389103 -0.42840992 -0.43151126],[ 3.67152390e-11  1.65072272e-17 -1.00000000e+00],[ 1.05928822e-72  0.00000000e+00 -9.56497065e-85],[ 4.52915706e-074 -9.55875344e-034 -7.58895631e-106],True,Increasing_angular_RW_momentum,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",1
10,[-0.72623929  0.34004354  0.59746217],[-0.795151   -0.42704044 -0.43054773],[ 4.07946366e-11 -9.19926299e-74 -1.00000000e+00],[ 2.09995633e-72  0.00000000e+00 -2.27745249e-84],[ 7.70050666e-074 -1.16829209e-033 -1.88018481e-105],True,Increasing_angular_RW_momentum,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",1
11,[-0.72557264  0.34004765  0.5982557 ],[-0.79642646 -0.42571775 -0.42949887],[ 4.48741003e-11 -1.68997696e-73 -1.00000000e+00],[ 3.88243980e-72  0.00000000e+00 -4.97378474e-84],[ 1.24379548e-073 -1.40195050e-033 -4.27985966e-105],True,Increasing_angular_RW_momentum,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",1
12,[-0.72489927  0.34004483  0.59906695],[-0.79765383 -0.42431244 -0.42861091],[ 4.89536300e-11  1.65072287e-17 -1.00000000e+00],[ 6.78281583e-72  0.00000000e+00 -1.01226524e-83],[ 1.92598802e-073 -1.65685060e-033 -9.08331145e-105],True,Increasing_angular_RW_momentum,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",1
13,[-0.72425442  0.34004756  0.59985565],[-0.79890462 -0.42272087 -0.42785333],[ 5.30330276e-11 -4.85976047e-73 -1.00000000e+00],[ 1.13070287e-71  0.00000000e+00 -1.94270601e-83],[ 2.87880239e-073 -1.93299236e-033 -1.81751468e-104],True,Increasing_angular_RW_momentum,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",1
14,[-0.7235945   0.34004506  0.60066335],[-0.80010585 -0.42139386 -0.42691667],[ 5.71125573e-11  1.65072298e-17 -1.00000000e+00],[ 1.81189344e-71  0.00000000e+00 -3.54778454e-83],[ 4.17568861e-073 -2.23037580e-033 -3.45848754e-104],True,Increasing_angular_RW_momentum,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",1
15,[-0.72291707  0.34004871  0.60145102],[-0.80141823 -0.41995466 -0.42587193],[ 6.11919550e-11 -1.19142515e-72 -1.00000000e+00],[ 2.80714809e-71  0.00000000e+00 -6.20904523e-83],[ 5.90231228e-073 -2.54900092e-033 -6.30154952e-104],True,Increasing_angular_RW_momentum,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",1
16,[-0.72227349  0.34004364  0.60225157],[-0.80260818 -0.41852368 -0.42503887],[ 6.52714847e-11 -1.65072308e-17 -1.00000000e+00],[ 4.22411227e-71  0.00000000e+00 -1.04729532e-82],[ 8.15749422e-073 -2.88886771e-033 -1.10551445e-103],True,Increasing_angular_RW_momentum,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",1
17,[-0.72160541  0.34004242  0.60304972],[-0.80380019 -0.41726549 -0.42402212],[ 6.93508163e-11 -2.59740580e-72 -1.00000000e+00],[ 6.19655679e-71  0.00000000e+00 -1.71035468e-82],[ 1.10541501e-072 -3.24997617e-033 -1.87588127e-103],True,Increasing_angular_RW_momentum,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",1
18,[-0.72093241  0.34004425  0.60384457],[-0.80512641 -0.41572197 -0.42302093],[ 7.34303460e-11 -3.70282081e-72 -1.00000000e+00],[ 8.8884954e-71  0.0000000e+00 -2.7146796e-82],[ 1.47202303e-072 -3.63232631e-033 -3.09031368e-103],True,Increasing_angular_RW_momentum,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",1
19,[-0.72025992  0.34004562  0.60463265],[-0.80630929 -0.41429115 -0.42217078],[ 7.75097436e-11 -5.17484384e-72 -1.00000000e+00],[ 1.24986553e-70  0.00000000e+00 -4.20082867e-82],[ 1.92996591e-072 -4.03591812e-033 -4.95821738e-103],True,Increasing_angular_RW_momentum,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",1
20,[-0.7196093   0.3400522   0.60542905],[-0.80756513 -0.4129963  -0.42103755],[ 8.15892733e-11  1.65072330e-17 -1.00000000e+00],[ 1.72653102e-70  0.00000000e+00 -6.35459545e-82],[ 2.49532749e-072 -4.46075161e-033 -7.76845668e-103],True,Increasing_angular_RW_momentum,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",1
21,[-0.71893846  0.34004506  0.60622307],[-0.80884725 -0.41142589 -0.42011291],[ 8.56687370e-11 -1.65072336e-17 -1.00000000e+00],[ 2.34714857e-70  0.00000000e+00 -9.41796970e-82],[ 3.18597696e-072 -4.90682677e-033 -1.19130270e-102],True,Increasing_angular_RW_momentum,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",1
22,[-0.71826225  0.34004896  0.60702582],[-0.81004215 -0.40982171 -0.41937797],[ 8.97482006e-11 -1.27861142e-71 -1.00000000e+00],[ 3.14505472e-70  0.00000000e+00 -1.37019799e-81],[ 4.02166282e-072 -5.37414360e-033 -1.79160602e-102],True,Increasing_angular_RW_momentum,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",1
23,[-0.71760014  0.34004337  0.60780126],[-0.81123782 -0.40847659 -0.41837791],[ 9.38276643e-11 -1.68077770e-71 -1.00000000e+00],[ 4.15921793e-70  0.00000000e+00 -1.96016208e-81],[ 5.02410685e-072 -5.86270211e-033 -2.64690177e-102],True,Increasing_angular_RW_momentum,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",1
24,[-0.71692215  0.34004948  0.60859866],[-0.81254543 -0.40705929 -0.41722015],[ 9.79071279e-11  1.65072354e-17 -1.00000000e+00],[ 5.43487672e-70  0.00000000e+00 -2.76130808e-81],[ 6.21709810e-072 -6.37250229e-033 -3.84730106e-102],True,Increasing_angular_RW_momentum,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",1
25,[-0.71623648  0.34004052  0.60939207],[-0.8137869  -0.40561939 -0.41620162],[ 1.01986592e-10 -2.80489820e-71 -1.00000000e+00],[ 7.02421902e-70  0.00000000e+00 -3.83534934e-81],[ 7.62658681e-072 -6.90354415e-033 -5.50892814e-102],True,Increasing_angular_RW_momentum,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",1
26,[-0.7155819   0.34004656  0.61017865],[-0.8151271  -0.40390796 -0.4152423 ],[ 1.06065989e-10 -3.56755688e-71 -1.00000000e+00],[ 8.98710358e-70  0.00000000e+00 -5.25834486e-81],[ 9.28077842e-072 -7.45582768e-033 -7.77989705e-102],True,Increasing_angular_RW_momentum,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",1
27,[-0.71490252  0.34004588  0.61096396],[-0.81626939 -0.40252674 -0.41433863],[ 1.10145519e-10 -4.49563472e-71 -1.00000000e+00],[ 1.13918245e-69  0.00000000e+00 -7.12325103e-81],[ 1.12102275e-071 -8.02935289e-033 -1.08473397e-101],True,Increasing_angular_RW_momentum,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",1
28,[-0.71422787  0.34005429  0.61176706],[-0.81756984 -0.40107495 -0.41318089],[ 1.14224983e-10 -5.61665747e-71 -1.00000000e+00],[ 1.43159202e-69  0.00000000e+00 -9.54279948e-81],[ 1.34479318e-071 -8.62411977e-033 -1.49456183e-101],True,Increasing_angular_RW_momentum,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",1
29,[-0.71354208  0.34005569  0.61254209],[-0.81879291 -0.3995711  -0.41221487],[ 1.18304512e-10 -6.96145065e-71 -1.00000000e+00],[ 1.78470264e-69  0.00000000e+00 -1.26527280e-80],[ 1.60294260e-071 -9.24012833e-033 -2.03658654e-101],True,Increasing_angular_RW_momentum,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",1
30,[-0.71286643  0.34005144  0.61332678],[-0.81991751 -0.39812192 -0.41138085],[ 1.22383910e-10 -8.56439325e-71 -1.00000000e+00],[ 2.20837770e-69  0.00000000e+00 -1.66153917e-80],[ 1.89928760e-071 -9.87737856e-033 -2.74670071e-101],True,Increasing_angular_RW_momentum,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",1
31,[-0.71220944  0.34005105  0.61411288],[-0.82125308 -0.3964789  -0.41030217],[ 1.26463308e-10  1.65072397e-17 -1.00000000e+00],[ 2.71367501e-69  0.00000000e+00 -2.16237842e-80],[ 2.23791727e-071 -1.05358705e-032 -3.66884359e-101],True,Increasing_angular_RW_momentum,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",1
32,[-0.71151909  0.3400568   0.61490201],[-0.82236921 -0.39495904 -0.40953174],[ 1.30542837e-10 -1.27015981e-70 -1.00000000e+00],[ 3.31294630e-69  0.00000000e+00 -2.79059976e-80],[ 2.62320257e-071 -1.12156040e-032 -4.85645108e-101],True,Increasing_angular_RW_momentum,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",1
33,[-0.71082916  0.34004681  0.61568172],[-0.82364093 -0.39353446 -0.40834575],[ 1.34622367e-10  1.65072410e-17 -1.00000000e+00],[ 4.01994166e-69  0.00000000e+00 -3.57301524e-80],[ 3.05980580e-071 -1.19165793e-032 -6.37410768e-101],True,Increasing_angular_RW_momentum,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",1
34,[-0.71016711  0.34005177  0.61647504],[-0.82482331 -0.39198009 -0.4074532 ],[ 1.38701699e-10  1.65072416e-17 -1.00000000e+00],[ 4.84991886e-69  0.00000000e+00 -4.54098301e-80],[ 3.55268990e-071 -1.26387962e-032 -8.29942075e-101],True,Increasing_angular_RW_momentum,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",1
35,[-0.70948714  0.34004737  0.61725564],[-0.82605533 -0.39058017 -0.40630005],[ 1.42781162e-10 -1.65072423e-17 -1.00000000e+00],[ 5.81975786e-69  0.00000000e+00 -5.73100405e-80],[ 4.10712795e-071 -1.33822548e-032 -1.07251387e-100],True,Increasing_angular_RW_momentum,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",1
36,[-0.70879453  0.34005209  0.6180427 ],[-0.82721894 -0.38910648 -0.4053455 ],[ 1.46860692e-10  1.65072430e-17 -1.00000000e+00],[ 6.94808047e-69  0.00000000e+00 -7.18537579e-80],[ 4.72871247e-071 -1.41469551e-032 -1.37615361e-100],True,Increasing_angular_RW_momentum,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",1
37,[-0.70811954  0.34004838  0.61882865],[-0.82863553 -0.38720564 -0.40427088],[ 1.50940156e-10 -1.65072436e-17 -1.00000000e+00],[ 8.25537537e-69  0.00000000e+00 -8.95290618e-80],[ 5.42336489e-071 -1.49328970e-032 -1.75390908e-100],True,Increasing_angular_RW_momentum,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",1
38,[-0.70744221  0.34005359  0.61960922],[-0.82980053 -0.3858305  -0.40319463],[ 1.55019619e-10 -3.61965017e-70 -1.00000000e+00],[ 9.76412838e-69  0.00000000e+00 -1.10896918e-79],[ 6.19734489e-071 -1.57400807e-032 -2.22114782e-100],True,Increasing_angular_RW_momentum,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",1
39,[-0.70674831  0.34005676  0.62038146],[-0.83099914 -0.38436925 -0.40212027],[ 1.59099017e-10 -1.65072450e-17 -1.00000000e+00],[ 1.14989584e-68  0.00000000e+00 -1.36599635e-79],[ 7.05725986e-071 -1.65685060e-032 -2.79589104e-100],True,Increasing_angular_RW_momentum,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",1
40,[-0.70605652  0.34005544  0.62114966],[-0.83224516 -0.38265602 -0.40117623],[ 1.63178547e-10 -1.65072457e-17 -1.00000000e+00],[ 1.34867587e-68  0.00000000e+00 -1.67370042e-79],[ 8.01007423e-071 -1.74181729e-032 -3.49918495e-100],True,Increasing_angular_RW_momentum,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",1
41,[-0.70538015  0.34005739  0.62192893],[-0.83356606 -0.38101501 -0.39999399],[ 1.67257944e-10 -5.74611807e-70 -1.00000000e+00],[ 1.57568443e-68  0.00000000e+00 -2.04041414e-79],[ 9.06311891e-071 -1.82890816e-032 -4.35551254e-100],True,Increasing_angular_RW_momentum,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",1
42,[-0.70468989  0.34005487  0.62272289],[-0.8346786  -0.3795761  -0.39904088],[ 1.71337474e-10 -6.65242996e-70 -1.00000000e+00],[ 1.83411045e-68  0.00000000e+00 -2.47558197e-79],[ 1.02241007e-070 -1.91812319e-032 -5.39324903e-100],True,Increasing_angular_RW_momentum,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",1
