,Sun,Magnetometer,Earth,Angular momentum of wheels,Angular velocity of satellite,Sun in view,Current fault,Current fault numeric,Current fault binary
0,[-0.73278323  0.34004328  0.58940054],[-0.782709   -0.44081422 -0.43937393],[-6.60288922e-17  1.65072231e-17 -1.00000000e+00],[0. 0. 0.],[0. 0. 0.],True,Catastrophic_RW,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,[-0.73214119  0.34004397  0.59021394],[-0.78397139 -0.43941863 -0.43852039],[ 4.07952969e-12  3.30144470e-17 -1.00000000e+00],[0.00000000e+00 4.78645384e-12 0.00000000e+00],[ 0.00000000e+00 -2.12416743e-35  0.00000000e+00],True,Catastrophic_RW,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
2,[-0.7314758   0.34004231  0.59101597],[-0.78533355 -0.43790213 -0.43759906],[ 8.15899336e-12  1.65072239e-17 -1.00000000e+00],[0.00000000e+00 1.43593615e-11 0.00000000e+00],[ 1.56609857e-077 -6.37250229e-035 -1.33066223e-111],True,Catastrophic_RW,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
3,[-0.73083663  0.34004799  0.59182034],[-0.78630944 -0.43694617 -0.43680145],[ 1.22383250e-11 -1.65072244e-17 -1.00000000e+00],[3.43002014e-76 2.87187230e-11 0.00000000e+00],[ 1.56609857e-076 -1.27450046e-034 -5.87154709e-110],True,Catastrophic_RW,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
4,[-0.73015978  0.34004582  0.59263264],[-0.78761487 -0.43547223 -0.43592057],[ 1.63178547e-11 -1.72270842e-76 -1.00000000e+00],[3.78935559e-75 4.78645384e-11 0.00000000e+00],[ 7.20405341e-076 -2.12416743e-034 -7.24711916e-109],True,Catastrophic_RW,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
5,[-0.7295148   0.34004197  0.59344658],[-0.78884447 -0.43415429 -0.43501086],[ 2.03973183e-11 -8.92676184e-76 -1.00000000e+00],[1.97471160e-74 7.17968076e-11 0.00000000e+00],[ 2.28650391e-075 -3.18625115e-034 -4.93043622e-108],True,Catastrophic_RW,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
6,[-0.72887107  0.34004389  0.59423525],[-0.79027629 -0.43240341 -0.43415514],[ 2.44767820e-11 -3.17918009e-75 -1.00000000e+00],[7.07564155e-74 1.00515531e-10 0.00000000e+00],[ 5.81022569e-075 -4.46075160e-034 -2.34712184e-107],True,Catastrophic_RW,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
7,[-0.72821458  0.34004457  0.5950419 ],[-0.79153691 -0.43106746 -0.43318607],[ 2.85561796e-11 -8.98940578e-75 -1.00000000e+00],[2.01325849e-73 1.34020708e-10 0.00000000e+00],[ 1.27167204e-074 -5.94766881e-034 -8.78097351e-107],True,Catastrophic_RW,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
8,[-0.72754217  0.34004365  0.59585536],[-0.79264781 -0.42976597 -0.4324473 ],[ 3.26357093e-11  1.65072267e-17 -1.00000000e+00],[4.89218873e-73 1.72312338e-10 0.00000000e+00],[ 2.49949331e-074 -7.64700275e-034 -2.75872228e-106],True,Catastrophic_RW,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
9,[-0.72689813  0.34003603  0.59664927],[-0.79386255 -0.42860514 -0.43136977],[ 3.67152390e-11  1.65072272e-17 -1.00000000e+00],[1.05928822e-72 2.15390423e-10 0.00000000e+00],[ 4.52915705e-074 -9.55875343e-034 -7.58895630e-106],True,Catastrophic_RW,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
10,[-0.72623514  0.34004504  0.5974557 ],[-0.79509073 -0.42711423 -0.43058585],[ 4.07946366e-11 -9.19926298e-74 -1.00000000e+00],[2.09995633e-72 2.63254961e-10 0.00000000e+00],[ 7.70050665e-074 -1.16829209e-033 -1.88018481e-105],True,Catastrophic_RW,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
