,Sun,Magnetometer,Earth,Angular momentum of wheels,Angular velocity of satellite,Sun in view,Current fault,Current fault numeric,Current fault binary
0,[-0.73278589  0.34004406  0.58940769],[-0.78272701 -0.44070172 -0.43945469],[-6.60288922e-17  1.65072231e-17 -1.00000000e+00],[0. 0. 0.],[0. 0. 0.],True,Erroneous_sun,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,[-0.73213594  0.34005081  0.59021801],[-0.7839496  -0.43939993 -0.43857808],[ 4.07952969e-12  3.30144470e-17 -1.00000000e+00],[0.00000000e+00 4.78645384e-12 0.00000000e+00],[ 0.00000000e+00 -2.12416743e-35  0.00000000e+00],True,Erroneous_sun,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
2,[-0.73147645  0.34004491  0.59102388],[-0.78521042 -0.4380348  -0.43768723],[ 8.15899336e-12  1.65072239e-17 -1.00000000e+00],[0.00000000e+00 1.43593615e-11 0.00000000e+00],[ 1.56609857e-077 -6.37250229e-035 -1.33066223e-111],True,Erroneous_sun,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
3,[-0.73082329  0.34004182  0.59183155],[-0.7864722  -0.436631   -0.43682359],[ 1.22383250e-11 -1.65072244e-17 -1.00000000e+00],[ 3.43002014e-76  2.87187230e-11 -4.99737234e-89],[ 1.56609857e-076 -1.27450046e-034 -5.87154709e-110],True,Erroneous_sun,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
4,[-0.73019055  0.34003988  0.59263152],[-0.78767647 -0.43541491 -0.43586654],[ 1.63178547e-11 -1.72270842e-76 -1.00000000e+00],[ 3.78935559e-75  4.78645384e-11 -8.74540159e-88],[ 7.20405341e-076 -2.12416743e-034 -7.24711916e-109],True,Erroneous_sun,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
5,[-0.72953064  0.34004714  0.59343436],[-0.78895459 -0.43390848 -0.43505641],[ 2.03973183e-11 -8.92676184e-76 -1.00000000e+00],[ 1.97471160e-74  7.17968076e-11 -6.57154462e-87],[ 2.28650391e-075 -3.18625115e-034 -4.93043622e-108],True,Erroneous_sun,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
6,[-0.72886883  0.34005122  0.59425283],[-0.7901441  -0.43258796 -0.43421189],[ 2.44767820e-11 -3.17918009e-75 -1.00000000e+00],[ 7.07564155e-74  1.00515531e-10 -3.19332092e-86],[ 5.81022569e-075 -4.46075160e-034 -2.34712184e-107],True,Erroneous_sun,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
7,[-0.72820395  0.34004507  0.59504252],[-0.79146002 -0.43123256 -0.43316222],[ 2.85561796e-11 -8.98940578e-75 -1.00000000e+00],[ 2.01325849e-73  1.34020708e-10 -1.17987961e-85],[ 1.27167204e-074 -5.94766881e-034 -8.78097351e-107],True,Erroneous_sun,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
8,[-0.72754152  0.34004979  0.59585273],[-0.79264886 -0.42987297 -0.432339  ],[ 3.26357093e-11  1.65072267e-17 -1.00000000e+00],[ 4.89218873e-73  1.72312338e-10 -3.60410493e-85],[ 2.49949331e-074 -7.64700275e-034 -2.75872228e-106],True,Erroneous_sun,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
9,[-0.72688634  0.34003689  0.59665738],[-0.79386974 -0.42855004 -0.43141129],[ 3.67152390e-11  1.65072272e-17 -1.00000000e+00],[ 1.05928822e-72  2.15390423e-10 -9.56497065e-85],[ 4.52915705e-074 -9.55875343e-034 -7.58895630e-106],True,Erroneous_sun,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
10,[-0.72623169  0.34004239  0.5974516 ],[-0.79520424 -0.4270762  -0.43041391],[ 4.07946366e-11 -9.19926298e-74 -1.00000000e+00],[ 2.09995633e-72  2.63254961e-10 -2.27745249e-84],[ 7.70050665e-074 -1.16829209e-033 -1.88018481e-105],True,Erroneous_sun,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
11,[-0.72557796  0.34004139  0.59825628],[-0.79637417 -0.4256925  -0.42962085],[ 4.48741003e-11 -1.68997696e-73 -1.00000000e+00],[ 3.88243980e-72  3.15905953e-10 -4.97378474e-84],[ 1.24379548e-073 -1.40195050e-033 -4.27985965e-105],True,Erroneous_sun,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
12,[-0.72492214  0.34004131  0.59905247],[-0.79769322 -0.4242728  -0.42857684],[ 4.89536300e-11  1.65072287e-17 -1.00000000e+00],[ 6.78281582e-72  3.73343400e-10 -1.01226524e-83],[ 1.92598801e-073 -1.65685059e-033 -9.08331142e-105],True,Erroneous_sun,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
13,[-0.72425604  0.34004503  0.59985591],[-0.79883596 -0.42289138 -0.42781303],[ 5.30330276e-11 -4.85976046e-73 -1.00000000e+00],[ 1.13070287e-71  4.35567299e-10 -1.94270601e-83],[ 2.87880238e-073 -1.93299236e-033 -1.81751467e-104],True,Erroneous_sun,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
14,[-0.7236      0.34004372  0.6006494 ],[-0.80012801 -0.42142306 -0.4268463 ],[ 5.71125573e-11  1.65072298e-17 -1.00000000e+00],[ 1.81189344e-71  5.02577653e-10 -3.54778454e-83],[ 4.17568860e-073 -2.23037580e-033 -3.45848752e-104],True,Erroneous_sun,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
15,[-0.72292626  0.34004472  0.60145042],[-0.80121759 -0.42011605 -0.42609022],[ 6.11919550e-11 -1.19142514e-72 -1.00000000e+00],[ 2.80714808e-71  5.74374461e-10 -6.20904522e-83],[ 5.90231226e-073 -2.54900091e-033 -6.30154948e-104],True,Erroneous_sun,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
16,[-0.72227279  0.3400491   0.60224254],[-0.8025979  -0.418725   -0.42485995],[ 6.52714847e-11 -1.65072308e-17 -1.00000000e+00],[ 4.22411226e-71  6.50957722e-10 -1.04729532e-82],[ 8.15749418e-073 -2.88886769e-033 -1.10551444e-103],True,Erroneous_sun,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
