,Sun,Magnetometer,Earth,Angular momentum of wheels,Angular velocity of satellite,Sun in view,Current fault,Current fault numeric,Current fault binary
15,[-0.72292818  0.34004652  0.60144109],[-0.801339   -0.42007519 -0.42590214],[ 6.11919550e-11 -1.19142514e-72 -1.00000000e+00],[ 2.80714808e-71  5.74374461e-10 -6.20904522e-83],[ 5.90231226e-073 -2.54900091e-033 -6.30154948e-104],True,General_sensor_high_noise,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",1
16,[-0.7222689   0.3400441   0.60224952],[-0.80263378 -0.41861589 -0.42489971],[ 6.52714847e-11 -1.65072308e-17 -1.00000000e+00],[ 4.22411226e-71  6.50957722e-10 -1.04729532e-82],[ 8.15749418e-073 -2.88886769e-033 -1.10551444e-103],True,General_sensor_high_noise,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",1
17,[-0.72159064  0.34004643  0.60304675],[-0.80391505 -0.41707291 -0.42399385],[ 6.93508163e-11 -2.59740579e-72 -1.00000000e+00],[ 6.19655677e-71  7.32327438e-10 -1.71035468e-82],[ 1.10541501e-072 -3.24997615e-033 -1.87588125e-103],True,General_sensor_high_noise,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",1
18,[-0.72093783  0.34004524  0.60384085],[-0.80514513 -0.41570398 -0.42300299],[ 7.34303460e-11 -3.70282079e-72 -1.00000000e+00],[ 8.88849536e-71  8.18483607e-10 -2.71467959e-82],[ 1.47202302e-072 -3.63232628e-033 -3.09031365e-103],True,General_sensor_high_noise,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",1
19,[-0.72027095  0.34004924  0.6046367 ],[-0.80628897 -0.41430007 -0.42220085],[ 7.75097436e-11 -5.17484381e-72 -1.00000000e+00],[ 1.24986552e-70  9.09426230e-10 -4.20082865e-82],[ 1.92996589e-072 -4.03591809e-033 -4.95821731e-103],True,General_sensor_high_noise,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",1
20,[-0.71960767  0.34004152  0.60543765],[-0.80759339 -0.41283953 -0.42113707],[ 8.15892733e-11  1.65072330e-17 -1.00000000e+00],[ 1.72653101e-70  1.00515531e-09 -6.35459542e-82],[ 2.49532747e-072 -4.46075157e-033 -7.76845656e-103],True,General_sensor_high_noise,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",1
21,[-0.71893929  0.34004861  0.60622645],[-0.80895194 -0.41120341 -0.42012916],[ 8.56687370e-11 -1.65072336e-17 -1.00000000e+00],[ 2.34714856e-70  1.10567084e-09 -9.41796964e-82],[ 3.18597692e-072 -4.90682672e-033 -1.19130268e-102],True,General_sensor_high_noise,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",1
22,[-0.71826726  0.34004641  0.60702586],[-0.81012295 -0.40984424 -0.41919983],[ 8.97482006e-11 -1.27861141e-71 -1.00000000e+00],[ 3.14505470e-70  1.21097282e-09 -1.37019798e-81],[ 4.02166276e-072 -5.37414354e-033 -1.79160599e-102],True,General_sensor_high_noise,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",1
23,[-0.71759021  0.34005256  0.60781502],[-0.81131238 -0.4085106  -0.4182001 ],[ 9.38276643e-11 -1.68077769e-71 -1.00000000e+00],[ 4.15921789e-70  1.32106126e-09 -1.96016206e-81],[ 5.02410677e-072 -5.86270203e-033 -2.64690170e-102],True,General_sensor_high_noise,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",1
24,[-0.71691081  0.34004266  0.60859738],[-0.81253799 -0.40708237 -0.41721214],[ 9.79071279e-11  1.65072354e-17 -1.00000000e+00],[ 5.43487666e-70  1.43593615e-09 -2.76130806e-81],[ 6.21709799e-072 -6.37250220e-033 -3.84730096e-102],True,General_sensor_high_noise,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",1
