,Sun,Magnetometer,Earth,Angular momentum of wheels,Angular velocity of satellite,Sun in view,Current fault,Current fault numeric,Current fault binary
0,[-0.73278882  0.34004415  0.58940615],[-0.78282851 -0.44065964 -0.43931608],[-6.60288922e-17  1.65072231e-17 -1.00000000e+00],[0. 0. 0.],[0. 0. 0.],True,Oscillating_angular_RW_momentum,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",1
1,[-0.73214045  0.34003918  0.59020701],[-0.78401391 -0.43942711 -0.43843586],[ 4.07952969e-12  3.30144470e-17 -1.00000000e+00],[0.00000000e+00 4.78645384e-12 0.00000000e+00],[ 0.00000000e+00 -2.12416743e-35  0.00000000e+00],True,Oscillating_angular_RW_momentum,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",1
2,[-0.73147666  0.34004206  0.59101597],[-0.78515194 -0.43804734 -0.43777958],[ 8.15899336e-12  1.65072239e-17 -1.00000000e+00],[0.00000000e+00 1.43593615e-11 0.00000000e+00],[ 1.56609857e-077 -6.37250229e-035 -1.33066223e-111],True,Oscillating_angular_RW_momentum,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",1
3,[-0.73083053  0.34004719  0.59181883],[-0.78643221 -0.43676266 -0.43676395],[ 1.22383250e-11 -1.65072244e-17 -1.00000000e+00],[3.43002014e-76 2.87187230e-11 0.00000000e+00],[ 1.56609857e-076 -1.27450046e-034 -5.87154709e-110],True,Oscillating_angular_RW_momentum,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",1
4,[-0.73017212  0.34003757  0.59262975],[-0.78768891 -0.43542248 -0.43583649],[ 1.63178547e-11 -1.72270842e-76 -1.00000000e+00],[3.78935559e-75 4.78645384e-11 0.00000000e+00],[ 7.20405341e-076 -2.12416743e-034 -7.24711916e-109],True,Oscillating_angular_RW_momentum,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",1
5,[-0.72952125  0.34003966  0.59343944],[-0.78887539 -0.43401465 -0.43509413],[ 2.03973183e-11 -8.92676184e-76 -1.00000000e+00],[1.97471160e-74 7.17968076e-11 0.00000000e+00],[ 2.28650391e-075 -3.18625115e-034 -4.93043622e-108],True,Oscillating_angular_RW_momentum,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",1
6,[-0.72885555  0.34005013  0.59424356],[-0.79007506 -0.43263641 -0.43428922],[ 2.44767820e-11 -3.17918009e-75 -1.00000000e+00],[7.07564155e-74 1.00515531e-10 0.00000000e+00],[ 5.81022569e-075 -4.46075160e-034 -2.34712184e-107],True,Oscillating_angular_RW_momentum,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",1
7,[-0.72821476  0.3400451   0.59505311],[-0.79143296 -0.43105918 -0.43338418],[ 2.85561796e-11 -8.98940578e-75 -1.00000000e+00],[2.01325849e-73 1.34020708e-10 0.00000000e+00],[ 1.27167204e-074 -5.94766881e-034 -8.78097351e-107],True,Oscillating_angular_RW_momentum,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",1
8,[-0.72755539  0.3400457   0.59584553],[-0.79263942 -0.42991188 -0.43231762],[ 3.26357093e-11  1.65072267e-17 -1.00000000e+00],[4.89218873e-73 1.72312338e-10 0.00000000e+00],[ 2.49949331e-074 -7.64700275e-034 -2.75872228e-106],True,Oscillating_angular_RW_momentum,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",1
9,[-0.72690291  0.34004151  0.59665725],[-0.79392917 -0.42840647 -0.43144451],[ 3.67152390e-11  1.65072272e-17 -1.00000000e+00],[1.05928822e-72 2.15390423e-10 0.00000000e+00],[ 4.52915705e-074 -9.55875343e-034 -7.58895630e-106],True,Oscillating_angular_RW_momentum,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",1
10,[-0.72624962  0.34004722  0.5974649 ],[-0.79509514 -0.42705455 -0.43063689],[ 4.07946366e-11 -9.19926298e-74 -1.00000000e+00],[2.09995633e-72 2.63254961e-10 0.00000000e+00],[ 7.70050665e-074 -1.16829209e-033 -1.88018481e-105],True,Oscillating_angular_RW_momentum,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",1
11,[-0.72557831  0.34004158  0.59825081],[-0.79634877 -0.42569199 -0.42966844],[ 4.48741003e-11 -1.68997696e-73 -1.00000000e+00],[3.88243980e-72 3.15905953e-10 0.00000000e+00],[ 1.24379548e-073 -1.40195050e-033 -4.27985965e-105],True,Oscillating_angular_RW_momentum,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",1
12,[-0.72492841  0.34004515  0.59905586],[-0.79761569 -0.42423817 -0.4287554 ],[ 4.89536300e-11  1.65072287e-17 -1.00000000e+00],[6.78281582e-72 3.73343400e-10 0.00000000e+00],[ 1.92598801e-073 -1.65685059e-033 -9.08331142e-105],True,Oscillating_angular_RW_momentum,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",1
13,[-0.72425166  0.34004576  0.59985964],[-0.79879282 -0.42294027 -0.42784525],[ 5.30330276e-11 -4.85976046e-73 -1.00000000e+00],[1.13070287e-71 4.35567299e-10 0.00000000e+00],[ 2.87880238e-073 -1.93299236e-033 -1.81751467e-104],True,Oscillating_angular_RW_momentum,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",1
14,[-0.72358848  0.34004256  0.60065874],[-0.80013387 -0.42142789 -0.42683056],[ 5.71125573e-11  1.65072298e-17 -1.00000000e+00],[1.81189344e-71 5.02577653e-10 0.00000000e+00],[ 4.17568860e-073 -2.23037580e-033 -3.45848752e-104],True,Oscillating_angular_RW_momentum,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",1
15,[-0.72293716  0.34004279  0.60144732],[-0.80135664 -0.41995357 -0.4259889 ],[ 6.11919550e-11 -1.19142514e-72 -1.00000000e+00],[2.80714808e-71 5.74374461e-10 0.00000000e+00],[ 5.90231226e-073 -2.54900091e-033 -6.30154948e-104],True,Oscillating_angular_RW_momentum,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",1
16,[-0.72228005  0.3400447   0.60225276],[-0.80261222 -0.41858678 -0.4249691 ],[ 6.52714847e-11 -1.65072308e-17 -1.00000000e+00],[4.22411226e-71 6.50957722e-10 0.00000000e+00],[ 8.15749418e-073 -2.88886769e-033 -1.10551444e-103],True,Oscillating_angular_RW_momentum,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",1
17,[-0.72160401  0.34004492  0.60305931],[-0.8038753  -0.41713599 -0.42400716],[ 6.93508163e-11 -2.59740579e-72 -1.00000000e+00],[6.19655677e-71 7.32327438e-10 0.00000000e+00],[ 1.10541501e-072 -3.24997615e-033 -1.87588125e-103],True,Oscillating_angular_RW_momentum,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",1
18,[-0.72094088  0.3400433   0.60384514],[-0.80504886 -0.41574147 -0.42314933],[ 7.34303460e-11 -3.70282079e-72 -1.00000000e+00],[8.88849536e-71 8.18483607e-10 0.00000000e+00],[ 1.47202302e-072 -3.63232628e-033 -3.09031365e-103],True,Oscillating_angular_RW_momentum,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",1
19,[-0.72025978  0.34004274  0.60463783],[-0.80634197 -0.41431578 -0.42208419],[ 7.75097436e-11 -5.17484381e-72 -1.00000000e+00],[1.24986552e-70 9.09426230e-10 0.00000000e+00],[ 1.92996589e-072 -4.03591809e-033 -4.95821731e-103],True,Oscillating_angular_RW_momentum,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",1
20,[-0.7195984   0.34004636  0.60542635],[-0.80761194 -0.41278683 -0.42115317],[ 8.15892733e-11  1.65072330e-17 -1.00000000e+00],[1.72653101e-70 1.00515531e-09 0.00000000e+00],[ 2.49532747e-072 -4.46075157e-033 -7.76845656e-103],True,Oscillating_angular_RW_momentum,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",1
21,[-0.71893324  0.34004907  0.60622291],[-0.80882879 -0.41142315 -0.42015114],[ 8.56687370e-11 -1.65072336e-17 -1.00000000e+00],[2.34714856e-70 1.10567084e-09 0.00000000e+00],[ 3.18597692e-072 -4.90682672e-033 -1.19130268e-102],True,Oscillating_angular_RW_momentum,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",1
22,[-0.71826093  0.34005066  0.60702063],[-0.81016665 -0.41001399 -0.41894932],[ 8.97482006e-11 -1.27861141e-71 -1.00000000e+00],[3.14505470e-70 1.21097282e-09 0.00000000e+00],[ 4.02166276e-072 -5.37414354e-033 -1.79160599e-102],True,Oscillating_angular_RW_momentum,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",1
23,[-0.7176      0.3400432   0.60780892],[-0.81130436 -0.40847395 -0.41825144],[ 9.38276643e-11 -1.68077769e-71 -1.00000000e+00],[4.15921789e-70 1.32106126e-09 0.00000000e+00],[ 5.02410677e-072 -5.86270203e-033 -2.64690170e-102],True,Oscillating_angular_RW_momentum,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",1
24,[-0.71692056  0.34005202  0.6085883 ],[-0.81251676 -0.40691831 -0.41741346],[ 9.79071279e-11  1.65072354e-17 -1.00000000e+00],[5.43487666e-70 1.43593615e-09 0.00000000e+00],[ 6.21709799e-072 -6.37250220e-033 -3.84730096e-102],True,Oscillating_angular_RW_momentum,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",1
25,[-0.71625032  0.34005262  0.60938109],[-0.81375687 -0.40548275 -0.41639345],[ 1.01986592e-10 -2.80489816e-71 -1.00000000e+00],[7.02421894e-70 1.55559750e-09 0.00000000e+00],[ 7.62658666e-072 -6.90354404e-033 -5.50892798e-102],True,Oscillating_angular_RW_momentum,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",1
26,[-0.71557869  0.34004226  0.61018554],[-0.81495276 -0.40404577 -0.41545038],[ 1.06065989e-10 -3.56755683e-71 -1.00000000e+00],[8.98710346e-70 1.68004530e-09 0.00000000e+00],[ 9.28077822e-072 -7.45582755e-033 -7.77989679e-102],True,Oscillating_angular_RW_momentum,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",1
27,[-0.71489703  0.34004875  0.61096228],[-0.81626067 -0.4026668  -0.41421971],[ 1.10145519e-10 -4.49563465e-71 -1.00000000e+00],[1.13918244e-69 1.80927955e-09 0.00000000e+00],[ 1.12102272e-071 -8.02935272e-033 -1.08473393e-101],True,Oscillating_angular_RW_momentum,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",1
28,[-0.71423408  0.34004833  0.61175546],[-0.81754305 -0.40101346 -0.41329356],[ 1.14224983e-10 -5.61665737e-71 -1.00000000e+00],[1.43159199e-69 1.94330026e-09 0.00000000e+00],[ 1.34479314e-071 -8.62411957e-033 -1.49456177e-101],True,Oscillating_angular_RW_momentum,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",1
29,[-0.71353614  0.34005115  0.61253368],[-0.8187275  -0.39957006 -0.41234579],[ 1.18304512e-10 -6.96145052e-71 -1.00000000e+00],[1.78470261e-69 2.08210742e-09 0.00000000e+00],[ 1.60294255e-071 -9.24012809e-033 -2.03658645e-101],True,Oscillating_angular_RW_momentum,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",1
30,[-0.71287039  0.34004518  0.61333566],[-0.82006974 -0.39800023 -0.41119514],[ 1.22383910e-10 -8.56439307e-71 -1.00000000e+00],[2.20837766e-69 2.22570104e-09 0.00000000e+00],[ 1.89928754e-071 -9.87737828e-033 -2.74670057e-101],True,Oscillating_angular_RW_momentum,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",1
31,[-0.71219786  0.34004725  0.61411999],[-0.82130202 -0.39655811 -0.41012761],[ 1.26463308e-10  1.65072397e-17 -1.00000000e+00],[2.71367495e-69 2.37408110e-09 0.00000000e+00],[ 2.23791718e-071 -1.05358701e-032 -3.66884338e-101],True,Oscillating_angular_RW_momentum,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",1
