,Sun,Magnetometer,Earth,Angular momentum of wheels,Angular velocity of satellite,Sun in view,Current fault,Current fault numeric,Current fault binary
0,[-0.73277121  0.34004     0.5894066 ],[-0.78265639 -0.44079026 -0.43949167],[-6.60288922e-17  1.65072231e-17 -1.00000000e+00],[0. 0. 0.],[0. 0. 0.],True,Inverted_polarities_magnetorquers,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,[-0.7321284   0.34003974  0.59021344],[-0.78391089 -0.43953964 -0.43850726],[ 4.07952969e-12  3.30144470e-17 -1.00000000e+00],[0.00000000e+00 4.78645384e-12 0.00000000e+00],[ 0.00000000e+00 -2.12416743e-35  0.00000000e+00],True,Inverted_polarities_magnetorquers,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
2,[-0.73147909  0.34003696  0.59103154],[-0.78511733 -0.4380757  -0.43781327],[ 8.15899336e-12  1.65072239e-17 -1.00000000e+00],[0.00000000e+00 1.43593615e-11 0.00000000e+00],[ 1.56609857e-077 -6.37250229e-035 -1.33066223e-111],True,Inverted_polarities_magnetorquers,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
3,[-0.73084523  0.340046    0.59182593],[-0.78635323 -0.43667205 -0.43699671],[ 1.22383250e-11 -1.65072244e-17 -1.00000000e+00],[ 3.43002014e-76  2.87187230e-11 -4.99737234e-89],[ 1.56609857e-076 -1.27450046e-034 -5.87154709e-110],True,Inverted_polarities_magnetorquers,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
4,[-0.73018381  0.34004769  0.59264475],[-0.78762563 -0.43528051 -0.43609259],[ 1.63178547e-11 -1.72270842e-76 -1.00000000e+00],[ 3.78935559e-75  4.78645384e-11 -8.74540159e-88],[ 7.20405341e-076 -2.12416743e-034 -7.24711916e-109],True,Inverted_polarities_magnetorquers,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
5,[-0.7295338   0.3400443   0.59345279],[-0.78893628 -0.43397545 -0.43502282],[ 2.03973183e-11 -8.92676184e-76 -1.00000000e+00],[ 1.97471160e-74  7.17968076e-11 -6.57154462e-87],[ 2.28650391e-075 -3.18625115e-034 -4.93043622e-108],True,Inverted_polarities_magnetorquers,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
6,[-0.72886636  0.34004222  0.59423537],[-0.790068   -0.43266795 -0.43427064],[ 2.44767820e-11 -3.17918009e-75 -1.00000000e+00],[ 7.07564155e-74  1.00515531e-10 -3.19332092e-86],[ 5.81022569e-075 -4.46075160e-034 -2.34712184e-107],True,Inverted_polarities_magnetorquers,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
7,[-0.72819687  0.34004225  0.59504233],[-0.79140987 -0.43133399 -0.43315286],[ 2.85561796e-11 -8.98940578e-75 -1.00000000e+00],[ 2.01325849e-73  1.34020708e-10 -1.17987961e-85],[ 1.27167204e-074 -5.94766881e-034 -8.78097351e-107],True,Inverted_polarities_magnetorquers,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
8,[-0.72755142  0.34004873  0.59585958],[-0.7925876  -0.42990851 -0.43241597],[ 3.26357093e-11  1.65072267e-17 -1.00000000e+00],[ 4.89218873e-73  1.72312338e-10 -3.60410493e-85],[ 2.49949331e-074 -7.64700275e-034 -2.75872228e-106],True,Inverted_polarities_magnetorquers,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
9,[-0.72688779  0.34004553  0.59664739],[-0.79402221 -0.4283653  -0.43131416],[ 3.67152390e-11  1.65072272e-17 -1.00000000e+00],[ 1.05928822e-72  2.15390423e-10 -9.56497065e-85],[ 4.52915705e-074 -9.55875343e-034 -7.58895630e-106],True,Inverted_polarities_magnetorquers,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
10,[-0.7262315   0.3400467   0.59745438],[-0.79525579 -0.42687421 -0.43051905],[ 4.07946366e-11 -9.19926298e-74 -1.00000000e+00],[ 2.09995633e-72  2.63254961e-10 -2.27745249e-84],[ 7.70050665e-074 -1.16829209e-033 -1.88018481e-105],True,Inverted_polarities_magnetorquers,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
11,[-0.72557922  0.34004174  0.59825752],[-0.79642091 -0.42573069 -0.42949635],[ 4.48741003e-11 -1.68997696e-73 -1.00000000e+00],[ 3.88243980e-72  3.15905953e-10 -4.97378474e-84],[ 1.24379548e-073 -1.40195050e-033 -4.27985965e-105],True,Inverted_polarities_magnetorquers,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
12,[-0.72490277  0.3400434   0.59905365],[-0.79758815 -0.42439236 -0.42865403],[ 4.89536300e-11  1.65072287e-17 -1.00000000e+00],[ 6.78281582e-72  3.73343400e-10 -1.01226524e-83],[ 1.92598801e-073 -1.65685059e-033 -9.08331142e-105],True,Inverted_polarities_magnetorquers,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
13,[-0.72425688  0.34004303  0.59986523],[-0.79889549 -0.42287761 -0.42771546],[ 5.30330276e-11 -4.85976046e-73 -1.00000000e+00],[ 1.13070287e-71  4.35567299e-10 -1.94270601e-83],[ 2.87880238e-073 -1.93299236e-033 -1.81751467e-104],True,Inverted_polarities_magnetorquers,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
14,[-0.7235879   0.34004675  0.60065917],[-0.80008176 -0.42148474 -0.4268721 ],[ 5.71125573e-11  1.65072298e-17 -1.00000000e+00],[ 1.81189344e-71  5.02577653e-10 -3.54778454e-83],[ 4.17568860e-073 -2.23037580e-033 -3.45848752e-104],True,Inverted_polarities_magnetorquers,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
15,[-0.72294146  0.34004609  0.60144325],[-0.80133757 -0.41997821 -0.42600047],[ 6.11919550e-11 -1.19142514e-72 -1.00000000e+00],[ 2.80714808e-71  5.74374461e-10 -6.20904522e-83],[ 5.90231226e-073 -2.54900091e-033 -6.30154948e-104],True,Inverted_polarities_magnetorquers,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
16,[-0.7222731   0.34004432  0.60224682],[-0.80253709 -0.41861961 -0.42507863],[ 6.52714847e-11 -1.65072308e-17 -1.00000000e+00],[ 4.22411226e-71  6.50957722e-10 -1.04729532e-82],[ 8.15749418e-073 -2.88886769e-033 -1.10551444e-103],True,Inverted_polarities_magnetorquers,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
17,[-0.7215941   0.34005006  0.60305525],[-0.8038668  -0.4171058  -0.42405296],[ 6.93508163e-11 -2.59740579e-72 -1.00000000e+00],[ 6.19655677e-71  7.32327438e-10 -1.71035468e-82],[ 1.10541501e-072 -3.24997615e-033 -1.87588125e-103],True,Inverted_polarities_magnetorquers,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
18,[-0.72091987  0.34004153  0.6038435 ],[-0.80500583 -0.41582792 -0.42314627],[ 7.34303460e-11 -3.70282079e-72 -1.00000000e+00],[ 8.88849536e-71  8.18483607e-10 -2.71467959e-82],[ 1.47202302e-072 -3.63232628e-033 -3.09031365e-103],True,Inverted_polarities_magnetorquers,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
19,[-0.72026516  0.34004659  0.60464137],[-0.80632934 -0.41426811 -0.4221551 ],[ 7.75097436e-11 -5.17484381e-72 -1.00000000e+00],[ 1.24986552e-70  9.09426230e-10 -4.20082865e-82],[ 1.92996589e-072 -4.03591809e-033 -4.95821731e-103],True,Inverted_polarities_magnetorquers,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
20,[-0.71960237  0.34004849  0.60543167],[-0.80755244 -0.41296085 -0.42109665],[ 8.15892733e-11  1.65072330e-17 -1.00000000e+00],[ 1.72653101e-70  1.00515531e-09 -6.35459542e-82],[ 2.49532747e-072 -4.46075157e-033 -7.76845656e-103],True,Inverted_polarities_magnetorquers,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
21,[-0.71892226  0.34004838  0.60621881],[-0.8088518  -0.41123235 -0.42029361],[ 8.56687370e-11 -1.65072336e-17 -1.00000000e+00],[ 2.34714856e-70  1.10567084e-09 -9.41796964e-82],[ 3.18597692e-072 -4.90682672e-033 -1.19130268e-102],True,Inverted_polarities_magnetorquers,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
22,[-0.71825433  0.34004823  0.6070059 ],[-0.81009199 -0.40996442 -0.41914215],[ 8.97482006e-11 -1.27861141e-71 -1.00000000e+00],[ 3.14505470e-70  1.21097282e-09 -1.37019798e-81],[ 4.02166276e-072 -5.37414354e-033 -1.79160599e-102],True,Inverted_polarities_magnetorquers,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
23,[-0.71758502  0.3400465   0.60780711],[-0.8113039  -0.40847979 -0.41824663],[ 9.38276643e-11 -1.68077769e-71 -1.00000000e+00],[ 4.15921789e-70  1.32106126e-09 -1.96016206e-81],[ 5.02410677e-072 -5.86270203e-033 -2.64690170e-102],True,Inverted_polarities_magnetorquers,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
24,[-0.71692397  0.34004841  0.60859826],[-0.81251119 -0.40699729 -0.4173473 ],[ 9.79071279e-11  1.65072354e-17 -1.00000000e+00],[ 5.43487666e-70  1.43593615e-09 -2.76130806e-81],[ 6.21709799e-072 -6.37250220e-033 -3.84730096e-102],True,Inverted_polarities_magnetorquers,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
25,[-0.71624757  0.34005088  0.60938548],[-0.8138106  -0.40555777 -0.41621533],[ 1.01986592e-10 -2.80489816e-71 -1.00000000e+00],[ 7.02421894e-70  1.55559750e-09 -3.83534930e-81],[ 7.62658666e-072 -6.90354404e-033 -5.50892798e-102],True,Inverted_polarities_magnetorquers,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
