,Sun,Magnetometer,Earth,Angular momentum of wheels,Angular velocity of satellite,Sun in view,Current fault,Current fault numeric,Current fault binary
0,[-0.7327705   0.34004307  0.58940698],[-0.78267358 -0.44076775 -0.43948362],[-6.60288922e-17  1.65072231e-17 -1.00000000e+00],[0. 0. 0.],[0. 0. 0.],True,Overheated_RW,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,[-0.73213629  0.3400374   0.59021968],[-0.7838698  -0.43942507 -0.4386955 ],[ 4.07952969e-12  3.30144470e-17 -1.00000000e+00],[0.00000000e+00 4.78645384e-12 0.00000000e+00],[ 0.00000000e+00 -2.12416743e-35  0.00000000e+00],True,Overheated_RW,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
2,[-0.73147391  0.34003841  0.59101478],[-0.7851315  -0.43817493 -0.43768855],[ 8.15899336e-12  1.65072239e-17 -1.00000000e+00],[0.00000000e+00 1.43593615e-11 0.00000000e+00],[ 1.56609857e-077 -6.37250229e-035 -1.33066223e-111],True,Overheated_RW,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
3,[-0.73082968  0.34003982  0.59182703],[-0.78631492 -0.43673048 -0.43700724],[ 1.22383250e-11 -1.65072244e-17 -1.00000000e+00],[3.43002014e-76 2.87187230e-11 0.00000000e+00],[ 1.56609857e-076 -1.27450046e-034 -5.87154709e-110],True,Overheated_RW,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
4,[-0.73018177  0.34003923  0.59264094],[-0.78757491 -0.43539034 -0.43607455],[ 1.63178547e-11 -1.72270842e-76 -1.00000000e+00],[3.78935559e-75 4.78645384e-11 0.00000000e+00],[ 7.20405341e-076 -2.12416743e-034 -7.24711916e-109],True,Overheated_RW,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
5,[-0.72952494  0.34004002  0.59343963],[-0.78902168 -0.43392972 -0.43491355],[ 2.03973183e-11 -8.92676184e-76 -1.00000000e+00],[1.97471160e-74 7.17968076e-11 0.00000000e+00],[ 2.28650391e-075 -3.18625115e-034 -4.93043622e-108],True,Overheated_RW,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
6,[-0.72885455  0.34003947  0.59424892],[-0.79025116 -0.43251635 -0.43408836],[ 2.44767820e-11 -3.17918009e-75 -1.00000000e+00],[7.07564155e-74 1.00515531e-10 0.00000000e+00],[ 5.81022569e-075 -4.46075160e-034 -2.34712184e-107],True,Overheated_RW,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
7,[-0.72819632  0.34004126  0.59504852],[-0.79146409 -0.43110102 -0.4332857 ],[ 2.85561796e-11 -8.98940578e-75 -1.00000000e+00],[2.01325849e-73 1.34020708e-10 0.00000000e+00],[ 1.27167204e-074 -5.94766881e-034 -8.78097351e-107],True,Overheated_RW,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
8,[-0.72755334  0.34004986  0.59585351],[-0.79261586 -0.42995281 -0.43232012],[ 3.26357093e-11  1.65072267e-17 -1.00000000e+00],[4.89218873e-73 1.72312338e-10 0.00000000e+00],[ 2.49949331e-074 -7.64700275e-034 -2.75872228e-106],True,Overheated_RW,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
9,[-0.72689256  0.34004621  0.5966479 ],[-0.79372187 -0.4285616  -0.43167181],[ 3.67152390e-11  1.65072272e-17 -1.00000000e+00],[1.05928822e-72 2.15390423e-10 0.00000000e+00],[ 4.52915705e-074 -9.55875343e-034 -7.58895630e-106],True,Overheated_RW,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
10,[-0.72623978  0.34004264  0.59744872],[-0.79512632 -0.42702743 -0.4306062 ],[ 4.07946366e-11 -9.19926298e-74 -1.00000000e+00],[2.09995633e-72 2.63254961e-10 0.00000000e+00],[ 7.70050665e-074 -1.16829209e-033 -1.88018481e-105],True,Overheated_RW,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
