,Sun,Magnetometer,Earth,Angular momentum of wheels,Angular velocity of satellite,Sun in view,Current fault,Current fault numeric,Current fault binary
0,[-0.73279171  0.34003596  0.58939248],[-0.78271371 -0.44079539 -0.43938443],[-6.60288922e-17  1.65072231e-17 -1.00000000e+00],[0. 0. 0.],[0. 0. 0.],True,None,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
1,[-0.73213147  0.34004128  0.59020927],[-0.78403991 -0.43931701 -0.43849969],[ 4.07952969e-12  3.30144470e-17 -1.00000000e+00],[0.00000000e+00 4.78645384e-12 0.00000000e+00],[ 0.00000000e+00 -2.12416743e-35  0.00000000e+00],True,None,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
2,[-0.7314747   0.34004177  0.59101565],[-0.78511709 -0.43808919 -0.43780021],[ 8.15899336e-12  1.65072239e-17 -1.00000000e+00],[0.00000000e+00 1.43593615e-11 0.00000000e+00],[ 1.56609857e-077 -6.37250229e-035 -1.33066223e-111],True,None,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
3,[-0.73083305  0.3400426   0.59182462],[-0.78645857 -0.43665181 -0.43682732],[ 1.22383250e-11 -1.65072244e-17 -1.00000000e+00],[ 3.43002014e-76  2.87187230e-11 -4.99737234e-89],[ 1.56609857e-076 -1.27450046e-034 -5.87154709e-110],True,None,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
4,[-0.73016504  0.340045    0.59262663],[-0.78766455 -0.43533107 -0.43597181],[ 1.63178547e-11 -1.72270842e-76 -1.00000000e+00],[ 3.78935559e-75  4.78645384e-11 -8.74540159e-88],[ 7.20405341e-076 -2.12416743e-034 -7.24711916e-109],True,None,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
5,[-0.72951862  0.34004407  0.59342745],[-0.78893394 -0.43392345 -0.43507892],[ 2.03973183e-11 -8.92676184e-76 -1.00000000e+00],[ 1.97471160e-74  7.17968076e-11 -6.57154462e-87],[ 2.28650391e-075 -3.18625115e-034 -4.93043622e-108],True,None,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
6,[-0.72886115  0.34004188  0.59425755],[-0.79019763 -0.43262639 -0.43407616],[ 2.44767820e-11 -3.17918009e-75 -1.00000000e+00],[ 7.07564155e-74  1.00515531e-10 -3.19332092e-86],[ 5.81022569e-075 -4.46075160e-034 -2.34712184e-107],True,None,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
7,[-0.72821358  0.34004608  0.59504195],[-0.79143084 -0.43119685 -0.43325109],[ 2.85561796e-11 -8.98940578e-75 -1.00000000e+00],[ 2.01325849e-73  1.34020708e-10 -1.17987961e-85],[ 1.27167204e-074 -5.94766881e-034 -8.78097351e-107],True,None,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
8,[-0.72755457  0.3400449   0.59586529],[-0.79268014 -0.42987824 -0.43227641],[ 3.26357093e-11  1.65072267e-17 -1.00000000e+00],[ 4.89218873e-73  1.72312338e-10 -3.60410493e-85],[ 2.49949331e-074 -7.64700275e-034 -2.75872228e-106],True,None,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
9,[-0.72690981  0.34004682  0.59664918],[-0.79388673 -0.42847441 -0.43145514],[ 3.67152390e-11  1.65072272e-17 -1.00000000e+00],[ 1.05928822e-72  2.15390423e-10 -9.56497065e-85],[ 4.52915705e-074 -9.55875343e-034 -7.58895630e-106],True,None,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
10,[-0.72622946  0.34004478  0.59744703],[-0.79516978 -0.42701375 -0.43053953],[ 4.07946366e-11 -9.19926298e-74 -1.00000000e+00],[ 2.09995633e-72  2.63254961e-10 -2.27745249e-84],[ 7.70050665e-074 -1.16829209e-033 -1.88018481e-105],True,None,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
11,[-0.72557041  0.34004292  0.59824931],[-0.79642094 -0.42570012 -0.42952659],[ 4.48741003e-11 -1.68997696e-73 -1.00000000e+00],[ 3.88243980e-72  3.15905953e-10 -4.97378474e-84],[ 1.24379548e-073 -1.40195050e-033 -4.27985965e-105],True,None,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
12,[-0.72491672  0.3400451   0.59904696],[-0.79768529 -0.42427084 -0.42859355],[ 4.89536300e-11  1.65072287e-17 -1.00000000e+00],[ 6.78281582e-72  3.73343400e-10 -1.01226524e-83],[ 1.92598801e-073 -1.65685059e-033 -9.08331142e-105],True,None,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
13,[-0.72425801  0.34004619  0.5998543 ],[-0.79890596 -0.42274228 -0.42782967],[ 5.30330276e-11 -4.85976046e-73 -1.00000000e+00],[ 1.13070287e-71  4.35567299e-10 -1.94270601e-83],[ 2.87880238e-073 -1.93299236e-033 -1.81751467e-104],True,None,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
14,[-0.72360704  0.34004246  0.60064313],[-0.80010952 -0.421405   -0.42689881],[ 5.71125573e-11  1.65072298e-17 -1.00000000e+00],[ 1.81189344e-71  5.02577653e-10 -3.54778454e-83],[ 4.17568860e-073 -2.23037580e-033 -3.45848752e-104],True,None,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
15,[-0.72292383  0.34004791  0.60144867],[-0.8014466  -0.41998452 -0.4257891 ],[ 6.11919550e-11 -1.19142514e-72 -1.00000000e+00],[ 2.80714808e-71  5.74374461e-10 -6.20904522e-83],[ 5.90231226e-073 -2.54900091e-033 -6.30154948e-104],True,None,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
16,[-0.72226069  0.34004442  0.60225073],[-0.80252049 -0.41880935 -0.42492303],[ 6.52714847e-11 -1.65072308e-17 -1.00000000e+00],[ 4.22411226e-71  6.50957722e-10 -1.04729532e-82],[ 8.15749418e-073 -2.88886769e-033 -1.10551444e-103],True,None,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
17,[-0.72160923  0.34004342  0.60304898],[-0.80378375 -0.41729372 -0.42402551],[ 6.93508163e-11 -2.59740579e-72 -1.00000000e+00],[ 6.19655677e-71  7.32327438e-10 -1.71035468e-82],[ 1.10541501e-072 -3.24997615e-033 -1.87588125e-103],True,None,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
18,[-0.72093902  0.34004908  0.60384963],[-0.80521634 -0.41563862 -0.42293166],[ 7.34303460e-11 -3.70282079e-72 -1.00000000e+00],[ 8.88849536e-71  8.18483607e-10 -2.71467959e-82],[ 1.47202302e-072 -3.63232628e-033 -3.09031365e-103],True,None,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
19,[-0.72026321  0.34004604  0.60464407],[-0.8063848  -0.41421864 -0.42209769],[ 7.75097436e-11 -5.17484381e-72 -1.00000000e+00],[ 1.24986552e-70  9.09426230e-10 -4.20082865e-82],[ 1.92996589e-072 -4.03591809e-033 -4.95821731e-103],True,None,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
